SMILES,title,i_i_glide_lignum,docking_status,r_glide_cpu_time,r_i_docking_score,s_i_glide_gridfile,r_i_glide_gscore,r_i_glide_lipo,r_i_glide_hbond,r_i_glide_metal,r_i_glide_rewards,r_i_glide_evdw,r_i_glide_ecoul,r_i_glide_erotb,r_i_glide_esite,r_i_glide_emodel,r_i_glide_energy,r_i_glide_einternal
N[C@@H](CCC(=O)N[C@@H](CS)C(=O)NCC(=O)[O-])C(=O)[O-],"",1,Done,24.46,-3.18122,"GPX_Bacillus-subtilis",-3.18122,-0.146073,-0.596193,-0,-1.45781,-16.2307,-12.6339,1.7819,-0.0564251,-34.9124,-28.8647,9.72989
N[C@@H](CCC(=O)N[C@@H](CS)C(=O)NCC(=O)[O-])C(=O)[O-],"",1,Done,24.46,-3.50799,"GPX_Bacillus-subtilis",-3.50799,-0.455265,-0.568412,-0,-1.71866,-15.9868,-11.4128,1.7819,-0.0362865,-34.8416,-27.3997,9.16692
N[C@@H](CCC(=O)N[C@@H](CS)C(=O)NCC(=O)[O-])C(=O)[O-],"",1,Done,24.47,-3.26891,"GPX_Bacillus-subtilis",-3.26891,-0.158739,-0.721714,-0,-1.65104,-13.3122,-12.1264,1.7819,-0.0347516,-34.8043,-25.4386,3.7002
N[C@@H](CCC(=O)N[C@@H](CS)C(=O)NCC(=O)[O-])C(=O)[O-],"",1,Done,24.47,-3.50911,"GPX_Bacillus-subtilis",-3.50911,-0.262774,-0.655185,-0,-1.54245,-15.6618,-13.3314,1.7819,-0.0477981,-34.7148,-28.9933,12.5728
N[C@@H](CCC(=O)N[C@@H](CS)C(=O)NCC(=O)[O-])C(=O)[O-],"",1,Done,24.47,-3.13732,"GPX_Bacillus-subtilis",-3.13732,-0.261649,-0.463018,-0,-1.47546,-13.7024,-13.2584,1.7819,-0.0452139,-34.5062,-26.9609,6.43811
N[C@@H](CCC(=O)N[C@@H](CS)C(=O)NCC(=O)[O-])C(=O)[O-],"",1,Done,24.47,-3.2345,"GPX_Bacillus-subtilis",-3.2345,-0.211857,-0.657365,-0,-1.4951,-15.8972,-12.036,1.7819,-0.0518209,-34.2143,-27.9332,9.6275
N[C@@H](CCC(=O)N[C@@H](CS)C(=O)NCC(=O)[O-])C(=O)[O-],"",1,Done,24.48,-3.21515,"GPX_Bacillus-subtilis",-3.21515,-0.166149,-0.729583,-0,-1.44489,-12.4927,-13.211,1.7819,-0.05014,-34.1722,-25.7037,5.12582
N[C@@H](CCC(=O)N[C@@H](CS)C(=O)NCC(=O)[O-])C(=O)[O-],"",1,Done,24.48,-3.15686,"GPX_Bacillus-subtilis",-3.15686,-0.157934,-0.651437,-0,-1.81479,-16.4641,-9.79444,1.7819,-0.0222315,-34.1413,-26.2585,5.89447
N[C@@H](CCC(=O)N[C@@H](CS)C(=O)NCC(=O)[O-])C(=O)[O-],"",1,Done,24.48,-2.75332,"GPX_Bacillus-subtilis",-2.75332,-0.389972,-0.333442,-0,-1.51824,-18.2078,-8.88256,1.7819,-0.0507958,-33.8672,-27.0903,5.3401
N[C@@H](CCC(=O)N[C@@H](CS)C(=O)NCC(=O)[O-])C(=O)[O-],"",1,Done,24.49,-3.06491,"GPX_Bacillus-subtilis",-3.06491,-0.283947,-0.553327,-0,-1.56211,-16.4542,-10.5089,1.7819,-0.048388,-33.4878,-26.9631,7.98032
