Protein,Ligand,Pose,Score,RMSD,SASA
GPX_Gossypium-hirsutum,GSH,67,-3.26063901272022,0.41818604673690085,282.57216654638324
GPX_Gossypium-hirsutum,GSH,68,-3.22921403053537,0.8902814871685373,279.4338978210624
GPX_Gossypium-hirsutum,GSH,69,-3.22799514210315,0.44301801688868936,294.2466812446419
GPX_Gossypium-hirsutum,GSH,70,-3.22667203855702,0.4604114066730258,291.8292012574513
GPX_Gossypium-hirsutum,GSH,71,-3.22618637862495,0.452924617871546,291.9036478953382
GPX_Gossypium-hirsutum,GSH,72,-3.208682476846,0.8798981972081311,278.07828739058016
GPX_Gossypium-hirsutum,GSH,73,-3.18564175567796,0.27116624039110804,256.72466747166965
GPX_Gossypium-hirsutum,GSH,74,-3.17982169875855,0.42708966788730024,299.20789409032915
GPX_Gossypium-hirsutum,GSH,75,-3.1356874222466,0.8954525055957419,273.65719101706406
GPX_Gossypium-hirsutum,GSH,76,-3.12153226167688,0.28599292277484106,287.8146979685151
GPX_Gossypium-hirsutum,GSH,77,-3.07403738907634,0.8718273120268241,274.68184042174016
GPX_Gossypium-hirsutum,GSH,78,-2.99765619832308,0.9067120361917721,296.3183745772158
GPX_Gossypium-hirsutum,GSH,79,-2.9930382266296,0.8768186546952106,289.89243052035147
GPX_Gossypium-hirsutum,GSH,80,-2.92248768943059,1.3199253301025644,268.29379200579484
GPX_Gossypium-hirsutum,GSH,81,-2.91066519770215,0.49084014861637293,284.7166603098364
GPX_Gossypium-hirsutum,GSH,82,-2.89943565001061,0.9010716006344056,277.9162660966566
GPX_Gossypium-hirsutum,GSH,83,-2.88739321477348,1.3153621656938637,269.4988367223045
GPX_Gossypium-hirsutum,GSH,84,-2.87842606147202,0.30660510614255615,277.75416911659045
GPX_Gossypium-hirsutum,GSH,85,-2.87176555961371,0.8043751755590156,296.8373408236065
GPX_Gossypium-hirsutum,GSH,86,-2.86188955227354,0.4449899289942878,272.1360250700817
GPX_Gossypium-hirsutum,GSH,87,-2.66893187781786,1.3819254159740177,269.06398750390224
GPX_Gossypium-hirsutum,GSH,88,-2.59018913033085,1.4841575528633781,272.2197239334996
GPX_Gossypium-hirsutum,GSH,89,-2.45864821465641,1.2298250390676582,289.33283534482445
GPX_Gossypium-hirsutum,GSH,90,-2.30783472844173,0.2971254209270966,291.5226006928641
