Protein,Ligand,Pose,Score,RMSD,SASA
GPX_Staphylococcus-aureus,GSH,36,-3.42052229556176,0.37874163408201933,255.21906997883187
GPX_Staphylococcus-aureus,GSH,37,-3.41681415200423,0.9058981126633872,262.5207187248427
GPX_Staphylococcus-aureus,GSH,38,-3.40617391205718,0.39147566982324794,257.6170971976022
GPX_Staphylococcus-aureus,GSH,39,-3.39173598738782,0.31465825906710027,260.3398390818735
GPX_Staphylococcus-aureus,GSH,40,-3.38177039679499,0.9415235784806141,296.8976742053012
GPX_Staphylococcus-aureus,GSH,41,-3.37888828457959,0.351423311420507,280.96454378317213
GPX_Staphylococcus-aureus,GSH,42,-3.37593448028758,0.9189417600628185,251.06879885103203
GPX_Staphylococcus-aureus,GSH,43,-3.37290998106392,0.8715970729776337,265.35878281166435
GPX_Staphylococcus-aureus,GSH,44,-3.36737255928985,0.3534596474886767,263.58270875134525
GPX_Staphylococcus-aureus,GSH,45,-3.36263455894232,0.9255489047599323,255.56689192254646
GPX_Staphylococcus-aureus,GSH,46,-3.36034522730421,0.20880186541728396,283.8916318053883
GPX_Staphylococcus-aureus,GSH,47,-3.35095600255924,0.9295732960094203,290.3891502317771
GPX_Staphylococcus-aureus,GSH,48,-3.33773038704623,0.9066961060719368,269.1460863707627
GPX_Staphylococcus-aureus,GSH,49,-3.32351247969176,0.2509129634774384,269.6885400889507
GPX_Staphylococcus-aureus,GSH,50,-3.32282108813831,0.2904982310608411,309.5178414650138
GPX_Staphylococcus-aureus,GSH,51,-3.32010783202804,0.8538964782479778,261.2496682298596
GPX_Staphylococcus-aureus,GSH,52,-3.31980934410846,0.9408349756211208,240.74596772521772
GPX_Staphylococcus-aureus,GSH,53,-3.3068868913585,0.3433951251538581,257.4358338677856
GPX_Staphylococcus-aureus,GSH,54,-3.28564305575822,0.9538644358464283,303.0926771107401
GPX_Staphylococcus-aureus,GSH,55,-3.26794162208386,0.9180953489546417,254.9855286887774
GPX_Staphylococcus-aureus,GSH,56,-3.26242536754731,0.9562849351728456,259.53549239710395
GPX_Staphylococcus-aureus,GSH,57,-3.25700927713401,0.24054135777792426,308.66948389222375
GPX_Staphylococcus-aureus,GSH,58,-3.24911700698389,0.9359375278486521,290.6672805507556
GPX_Staphylococcus-aureus,GSH,59,-3.24814262607988,0.9278973591193724,285.3073013610526
GPX_Staphylococcus-aureus,GSH,60,-3.23516738954926,0.8531491355303136,266.2916711897857
GPX_Staphylococcus-aureus,GSH,61,-3.22730461725151,0.4495979158134303,267.7298880594608
GPX_Staphylococcus-aureus,GSH,62,-3.22528382723212,0.38317855207351104,273.43217793055743
GPX_Staphylococcus-aureus,GSH,63,-3.19605497179656,0.9682131999055853,325.9189022947299
GPX_Staphylococcus-aureus,GSH,64,-3.18364868549993,0.9448779983602726,252.5573899655756
GPX_Staphylococcus-aureus,GSH,65,-3.18146784277771,0.3427161436364605,263.41360257778393
GPX_Staphylococcus-aureus,GSH,66,-3.16913114855157,0.9732388478964953,318.4662997335998
GPX_Staphylococcus-aureus,GSH,67,-3.14947247786255,0.39795663888050664,272.9399396052505
GPX_Staphylococcus-aureus,GSH,68,-3.14623256415648,0.8754852980135664,253.24151485314675
GPX_Staphylococcus-aureus,GSH,69,-3.13366455528433,0.338692056726612,259.57118887028446
GPX_Staphylococcus-aureus,GSH,70,-3.08343821908202,0.9333353776920162,275.06942536578913
GPX_Staphylococcus-aureus,GSH,71,-3.07266286253232,0.9233647608780848,269.90529528496313
GPX_Staphylococcus-aureus,GSH,72,-3.01241739263593,0.946030587476957,272.00427523232764
GPX_Staphylococcus-aureus,GSH,73,-3.00295153768726,0.8994223868540135,257.11082047693975
GPX_Staphylococcus-aureus,GSH,74,-2.95976350562278,0.9389599912793068,267.9739704308596
GPX_Staphylococcus-aureus,GSH,75,-2.93459658613952,0.9508065715225079,282.6117239021901
GPX_Staphylococcus-aureus,GSH,76,-2.91820923890361,0.9373326444307364,284.1880353952626
GPX_Staphylococcus-aureus,GSH,77,-2.91468429840496,0.9466399629622949,288.84961916804394
GPX_Staphylococcus-aureus,GSH,78,-2.90976319618754,0.9381761976807644,279.75853446232446
GPX_Staphylococcus-aureus,GSH,79,-2.90148744091972,0.9408886961917122,268.35484876936346
GPX_Staphylococcus-aureus,GSH,80,-2.8839280693287,0.9477684634579696,306.1743786206713
GPX_Staphylococcus-aureus,GSH,81,-2.88216855609577,0.9401771527366249,283.22320314893466
GPX_Staphylococcus-aureus,GSH,82,-2.86350902609983,0.884119947558935,267.08933668864927
GPX_Staphylococcus-aureus,GSH,83,-2.81877700831535,0.3888408085076405,261.9428062158386
GPX_Staphylococcus-aureus,GSH,84,-2.75743113386583,0.8812688388564164,273.9812362451046
GPX_Staphylococcus-aureus,GSH,85,-2.75048867523916,0.9535184133848984,309.96295732915644
GPX_Staphylococcus-aureus,GSH,86,-2.73432814501789,0.9481859997614209,268.6213515588849
GPX_Staphylococcus-aureus,GSH,87,-2.72275865408127,0.8822714551724138,253.30418255365484
GPX_Staphylococcus-aureus,GSH,88,-2.68607745494556,0.37477039849921046,298.412238344115
GPX_Staphylococcus-aureus,GSH,89,-2.64091405119364,0.9169647925721489,253.90621889240356
GPX_Staphylococcus-aureus,GSH,90,-2.39122818591385,0.31551906962340126,286.47644033721303
