SMILES,title,i_i_glide_lignum,docking_status,r_glide_cpu_time,r_i_docking_score,s_i_glide_gridfile,r_i_glide_gscore,r_i_glide_lipo,r_i_glide_hbond,r_i_glide_metal,r_i_glide_rewards,r_i_glide_evdw,r_i_glide_ecoul,r_i_glide_erotb,r_i_glide_esite,r_i_glide_emodel,r_i_glide_energy,r_i_glide_einternal
N[C@@H](CCC(=O)N[C@@H](CS)C(=O)NCC(=O)[O-])C(=O)[O-],"",1,Done,17.81,-3.53467,"GPX_Staphylococcus-aureus",-3.53467,-0.215639,-0.46533,-0,-1.63305,-16.8299,-14.1835,1.7819,-0.0335384,-38.3838,-31.0134,10.5533
N[C@@H](CCC(=O)N[C@@H](CS)C(=O)NCC(=O)[O-])C(=O)[O-],"",1,Done,17.81,-3.56756,"GPX_Staphylococcus-aureus",-3.56756,-0.270168,-0.421058,-0,-1.46735,-12.7809,-16.5691,1.7819,-0.066473,-38.3184,-29.35,7.59256
N[C@@H](CCC(=O)N[C@@H](CS)C(=O)NCC(=O)[O-])C(=O)[O-],"",1,Done,17.81,-3.18365,"GPX_Staphylococcus-aureus",-3.18365,-0.184571,-0.32,-0,-1.62148,-16.5671,-13.3738,1.7819,-0.00506816,-38.1455,-29.9409,6.37295
N[C@@H](CCC(=O)N[C@@H](CS)C(=O)NCC(=O)[O-])C(=O)[O-],"",1,Done,17.81,-3.57508,"GPX_Staphylococcus-aureus",-3.57508,-0.140124,-0.461971,-0,-1.47462,-11.5541,-17.4938,1.7819,-0.0784907,-38.115,-29.0479,7.42574
N[C@@H](CCC(=O)N[C@@H](CS)C(=O)NCC(=O)[O-])C(=O)[O-],"",1,Done,17.82,-3.81756,"GPX_Staphylococcus-aureus",-3.81756,-0.210812,-0.538539,-0,-1.60916,-13.4494,-16.7088,1.7819,-0.0621648,-38.0309,-30.1582,11.5731
N[C@@H](CCC(=O)N[C@@H](CS)C(=O)NCC(=O)[O-])C(=O)[O-],"",1,Done,17.82,-3.39174,"GPX_Staphylococcus-aureus",-3.39174,-0.299845,-0.469907,-0,-1.48696,-14.6874,-13.9772,1.7819,-0.0859754,-37.9643,-28.6646,5.67085
N[C@@H](CCC(=O)N[C@@H](CS)C(=O)NCC(=O)[O-])C(=O)[O-],"",1,Done,17.82,-3.36035,"GPX_Staphylococcus-aureus",-3.36035,-0.282605,-0.559444,-0,-1.44592,-13.2082,-14.0744,1.7819,-0.0827143,-37.8742,-27.2825,2.83887
N[C@@H](CCC(=O)N[C@@H](CS)C(=O)NCC(=O)[O-])C(=O)[O-],"",1,Done,17.82,-3.13366,"GPX_Staphylococcus-aureus",-3.13366,-0.14719,-0.324919,-0,-1.50624,-14.1185,-14.7568,1.7819,-0.0177655,-37.6576,-28.8753,4.85342
N[C@@H](CCC(=O)N[C@@H](CS)C(=O)NCC(=O)[O-])C(=O)[O-],"",1,Done,17.82,-3.4261,"GPX_Staphylococcus-aureus",-3.4261,-0.325437,-0.48,-0,-1.57933,-15.5951,-13.4323,1.7819,-0.0286375,-37.51,-29.0274,7.55154
N[C@@H](CCC(=O)N[C@@H](CS)C(=O)NCC(=O)[O-])C(=O)[O-],"",1,Done,17.82,-3.22528,"GPX_Staphylococcus-aureus",-3.22528,-0.0873634,-0.463485,-0,-1.58294,-15.2486,-13.8808,1.7819,-0.0288521,-37.3605,-29.1294,6.61783
N[C@@H](CCC(=O)N[C@@H](CS)C(=O)NCC(=O)[O-])C(=O)[O-],"",1,Done,17.82,-3.4467,"GPX_Staphylococcus-aureus",-3.4467,-0.202306,-0.516163,-0,-1.52698,-14.0772,-15.1952,1.7819,0,-37.2286,-29.2725,8.74912
N[C@@H](CCC(=O)N[C@@H](CS)C(=O)NCC(=O)[O-])C(=O)[O-],"",1,Done,17.83,-3.68451,"GPX_Staphylococcus-aureus",-3.68451,-0.273883,-0.619759,-0,-1.59604,-13.6923,-14.9306,1.7819,-0.0525294,-36.9522,-28.6229,9.58949
N[C@@H](CCC(=O)N[C@@H](CS)C(=O)NCC(=O)[O-])C(=O)[O-],"",1,Done,17.83,-3.37593,"GPX_Staphylococcus-aureus",-3.37593,-0.174697,-0.511822,-0,-1.52535,-16.2834,-13.9304,1.7819,-0.0422346,-36.6354,-30.2138,11.2815
N[C@@H](CCC(=O)N[C@@H](CS)C(=O)NCC(=O)[O-])C(=O)[O-],"",1,Done,17.83,-3.36737,"GPX_Staphylococcus-aureus",-3.36737,-0.261425,-0.544272,-0,-1.5207,-14.2606,-13.7823,1.7819,-0.042492,-36.6309,-28.0429,6.917
N[C@@H](CCC(=O)N[C@@H](CS)C(=O)NCC(=O)[O-])C(=O)[O-],"",1,Done,17.83,-3.6337,"GPX_Staphylococcus-aureus",-3.6337,-0.355094,-0.743314,-0,-1.47733,-13.478,-13.863,1.7819,-0.0865123,-36.6171,-27.341,7.43779
N[C@@H](CCC(=O)N[C@@H](CS)C(=O)NCC(=O)[O-])C(=O)[O-],"",1,Done,17.83,-3.48671,"GPX_Staphylococcus-aureus",-3.48671,-0.143706,-0.566099,-0,-1.43045,-12.3587,-16.1143,1.7819,-0.0932703,-36.6113,-28.473,8.67428
N[C@@H](CCC(=O)N[C@@H](CS)C(=O)NCC(=O)[O-])C(=O)[O-],"",1,Done,17.84,-3.26794,"GPX_Staphylococcus-aureus",-3.26794,-0.0890532,-0.485574,-0,-1.61862,-14.7774,-14.1182,1.7819,0,-36.4725,-28.8956,8.21675
